u-5RWUg3CWsU-hrBcmCeIiG,q-XnShTkUSgc-Cm3LFT0MWB,Currently travel between communities such as West Roxbury  or Hyde Park and Newton requires either numerous bus changes or going all the way down town before switching out to  new line. What about offering lines that run north-south up and down the western end of the city/ interior suburbs?,Access,2/8/15 10:12,02132
u-N35MrZvl0d-2ziBBd8BUw,q-VU4v4fkfnV-UNX5RgiTgj,How can we make it so anyone can get between any two points in the city within 45 minutes without a car?,Access,2/10/15 14:41,02132
u-N35MrZvl0d-2ziBBd8BUw,q-Yb71JHXgV4-2D6VdE5mbe,How can we make it safe for people to commute to work by bike?,Safety,2/10/15 14:42,02132
u-N35MrZvl0d-2ziBBd8BUw,q-4mPf0565Ik-3ketxzTtbs,Will it be possible for someone from West Roxbury to take public transit and get downtown in under an hour on typical routes? Under 30 minutes?,Access,2/10/15 14:50,02132
u-N35MrZvl0d-2ziBBd8BUw,q-T1DYyv6uGU-m83oZ2FmXe,Could we have car free streets that were bike and pedestrian only?,Access,2/10/15 15:11,02132
u-N35MrZvl0d-2ziBBd8BUw,q-KHtNC9vJL6-aDXWb6CSgP,"Can our neighborhood streets give priority to pedestrians and bikes, where cars have to travel at walking speeds like they do in the Netherlands: http://en.wikipedia.org/wiki/Woonerf",Health,2/10/15 15:27,02132
u-N35MrZvl0d-2ziBBd8BUw,q-EGtugEpTAa-EkRgGUjReW,"Should we fund this by switching from a Property Tax to a Land Value Tax, which doesn't go up if someone makes improvements to their property, but does go up if the city makes major investments in a local neighborhood?",Governance and Decision-Making,2/11/15 7:33,02132
u-N35MrZvl0d-2ziBBd8BUw,q-wBHWxPpS7d-jDP6lkQcMJ,Can we make is more accessible to take bicycles on our public transit systems so that these systems can still be used when they don't go all the way to the destination?,Access,2/11/15 7:35,02132
u-N35MrZvl0d-2ziBBd8BUw,q-81k5LiJaBb-RxewRUNraT,"Should there be a toll for driving into Boston, to discourage congestion and fund a better transit system?",Sustainability-Climate,2/11/15 7:47,02132
u-N35MrZvl0d-2ziBBd8BUw,q-xIJ5F09ArN-C6RQBM7Usr,"Could we run a smaller, lighter T like train on the Needham commuter rail track with more frequent and night/weekend service?",Reliability,2/11/15 8:07,02132
u-TCDBLz35ad-tMsv3AXmXS,q-lAXtQcUEEk-m3llMT6RIX,Will prices keep increasing?,Affordability,2/11/15 20:33,02132
u-OQ6CxgJncE-YvJkz7Wc7B,q-fsTl50WgcU-BmkVEJV2lN,Can we install electric school buses to save energy?,Sustainability-Climate,2/13/15 10:47,02132
u-H2ZgtIjaY8-ahBm0d9ln7,q-GZMxk5Om17-qHpCGhIl5p,Will public transportation create a system for seniors only? ,Equity,2/20/15 14:08,02132
u-uSeZZxkddB-8U9nCePKpV,q-MM5fxdLICj-I0qi1Ts3T0,Will they shovel out the bus stops in the future winters? ,Experiential Quality,2/20/15 14:10,02132
u-sFsxFqXNZ1-LQVCmcTxxs,q-kP3Lx3XKlJ-lS5Aza7JCH,Will there be less gun violence at stations? ,Safety,2/20/15 14:14,02132
u-lFi9RoQlqB-KF5PuVQvL0,q-AVryFudfCF-CyszTyPmfF,Are you planning to improve the bus services for the W.R Area? The bus #35 schedule is very unreliable. ,Reliability,2/20/15 14:19,02132
u-oNwiGvrdAF-JQtTQTqrbr,q-Osna3OfRav-XtbLM07ntP,Would you ever consider talking to the Town of Norwood about their snow removal? They do a fantastic job-may want to duplicate ,Experiential Quality,2/20/15 14:28,02132
u-bUvU1RX3Gs-035vckCNWa,q-Dr3B4eYjps-B4Gsg0Dbba,Will the Orange Line ever come to West Roxbury?,Access,2/20/15 14:30,02132
u-A0tTm6oQNm-8zU4a8RHhP,q-7lvxJfOflb-BAiDcH5gqA,How will transportation be improved in the following years in order to shorten delays in the commute?,Experiential Quality,2/20/15 15:30,02132
u-1G0g7WUlTR-fOOOMgP2BK,q-5wdiHK2Lr5-0i2EpEOBCb,Will there be more buses on the road for routes? ,Access,2/20/15 15:31,02132
u-1Ur5VxwAqo-io27GyiWl9,q-gOoGQj0SVI-1NWyx760Qa,"Make the MBTA more reliable, reduce orange line standbys ",Reliability,2/20/15 15:36,02132
