user_id,question_id,question,theme,create_date,zipcode
u-E84HjvhwEI-sS5Wygff3l,q-c8wXWBm3zs-YDt19eGetn,Are we still gonna have M7 in the future?,Affordability,3/9/15 12:56,02126
u-0uOHSXxWsy-T8YqixyXwN,q-hWkD6TWpMT-mNxLGWNRpk,Can we reform zoning for manufacturing so that autobus/greenbus production jobs are available to low income residents and build the local economy?,Equity,1/30/15 12:06,02126
u-3wdkQMew9k-B9oofi5YMr,q-B82rCvIwDl-QsD9xNQ1CW,Will bus schedules get more accurate in the future?,Innovation-Technology,1/7/15 10:50,02126
u-Ne45TDaRlf-rX7SJVNKx7,q-bOi23BEqLM-jx0GINp92V,Does the city have any plans to make bigger buses?,Experiential Quality,3/9/15 12:56,02126
u-tkZaEcpKDT-bZ1MbecmlN,q-lKgRpgWjTd-CdMsBZwtYr,"Will we have up to date systems, physically?",Experiential Quality,2/20/15 20:03,02126
u-CBcyatfydV-s7WuZI0VD7,q-LPaeLSYhQa-JfVafFkfJ0,Will there be new modes of transportation in the future?  Will it be cleaner?,Innovation-Technology,1/7/15 10:50,02126
u-lbUTwmQnnO-tbkoHpLwWU,q-GqQ9XzaUur-qH6CGkQlLj,Why is there only one bus line that runs from Ashmont to Mattapan station and multiple buses to Roxbury/Ruggles?,Equity,1/7/15 10:50,02126
u-SOPcAzCyxy-IxqLhR7LiG,q-ScqsjBFZNI-haPaLJsLeA,I'm a walker most days but other days I bike. Where are my lanes and can I count on the MBTA buses not to take them up with their immense girths?,Governance and Decision-Making,2/20/15 21:23,02126
u-TdoRVEy9YY-Az7urAv6GS,q-xlfEWYNxKg-SF0bMGzYsI,Why isn't there regular maintenance?,Governance and Decision-Making,3/9/15 12:06,02126
u-rKYOe0RaSR-bxyqvTR0Cl,q-05g4lcOHxm-HKDXVNx2VN,How will Boston cope with faster transportation?,Reliability,3/9/15 12:56,02126
u-1zAVk6kNjO-41PBsnt1T5,q-aLWeGtYDnA-ROtomkKHUx,Why aren't there more loading Charlie card machines?,Experiential Quality,1/7/15 10:50,02126
u-X3uGBIoJHs-MTiI0UsjMo,q-zITsM38Naq-ZH8Dq8Z9jr,Will Boston transit systems ensure easy access?,Access,1/7/15 10:50,02126
u-oCFhrg73Fl-tF59MTJaJJ,q-gAlmNSAMa4-3BnGXpUlGA,Can Boston have a 24 hour transportation system?,Reliability,1/7/15 10:50,02126
u-GhUV3de8ib-0pWCphkYvB,q-ndn5cJdDJm-xYLZ03ljU2,Can you create roads that make all neighborhoods accessible to each other?  So much of Boson feels very isolated from each other.,Access,1/13/15 13:40,02126
u-jZkAD94eC0-RDoC5FXYnU,q-fqyOsJlZ9w-FoFFu6FDZt,How or what do we need to do to get positive advertisements at the bus stops?  ,Experiential Quality,2/20/15 14:45,02126
u-Ns9Kosu9ri-iQGxI7k9eX,q-0XzMN4KVnX-cjHRFjcs35,Will the trains be redesigned/made more up-to-date?,Innovation-Technology,2/20/15 21:34,02126
u-15jCTIRqln-0MnufBQS96,q-qNcb2LoR56-mpTtrXQHF9,What needs to be done to increase buses on community highway #30?  ,Access,1/7/15 10:50,02126
u-KBVksnN5OK-nfRpCz6fHS,q-x7hmi9MLEo-d2LveWIeXq,"When will we have rapid transit through Mattapan, Dorchester and Roxbury?",Access,1/7/15 10:50,02126
u-woBMKxBBFG-u1QxBjtD3V,q-inz2s6r2Tb-wLT7x7rkoy,When will 24 hour service be implemented? Will trains be equipped with infant seats?,Reliability,1/30/15 12:06,02126
u-t6R9oeoWBN-bP2Jh7mkM3,q-bN5p5gNNdT-yvgGbag4rM,"How can we get better, more efficient train schedules so that they are there where they say they will be?",Reliability,4/17/15 17:02,02126
u-D3WTVZkDsx-cm2qNpS6Xi,q-HLZccTEz7Q-X9zu38op6c,Can we have more buses on the road?,Governance and Decision-Making,3/9/15 12:55,02126
u-CkwUnPTGwZ-dK3ATqunVF,q-RE7MblmuPJ-wK9oqeV3ur,Will there be additional parking for commuters who take public transportation?,Access,1/7/15 10:50,02126
u-xZ5N7T91f0-hCXSiBmg3p,q-MVziRDB4Vf-3zMc3F949e,Will the city bring back trolleys to run through the neighborhoods? ,Access,1/7/15 10:50,02126
u-zAAxcI9Qes-Fkfg5b5CnX,q-L03QMvYdHo-ysjrFk8iOr,"Given that Bev Scott told us not to ride the Red Line during the snowstorm, maybe the MBTA should run.  Can we make it more efficient?",Reliability,3/9/15 12:18,02126
u-2n2uaiVm8h-blCh1EskNG,q-B7sxbe7jzl-PGo5RWmj9p,"Who is responsible for making sure the bus stops are accessible to all, especially during heavy snowfalls? ",Access,2/16/15 13:28,02126
u-5m3QRKJvva-iSjuC5eLAe,q-itpYmJy0j0-XVKU2qHMCT,How far will my bank let me take out for paying for the MBTA? ,Affordability,2/20/15 21:00,02126
u-aJBrWxMuxW-Gyp7UKK4wk,q-1de3HXPflQ-uj7objemuH,an you suggest people stay to the left when on escalators so others can walk up the steps if they want.,Experiential Quality,2/6/15 15:32,02126
u-3dbZpZFo9Q-owbN7X57wQ,q-yHFVBNCEbd-6M1vNcVaqE,Will there be any type of air transportation?,Innovation-Technology,2/11/15 21:00,02126
u-m6B47rerqM-wkFgBuXM2G,q-Hsb7fjpaWw-jTdkFUVNFi,What is Boston doing to improve the Mattapan Trolley system? They are so old and they take forever.,Reliability,4/15/15 10:02,02126
u-aJBrWxMuxW-Gyp7UKK4wk,q-JZAwbEVSAe-bBDAomOKc9,Forest Hills had 3 T commuter parking lots. It was replaced with a bus facility. Any chance of adding another?  How about free parking on Sundays?,Access,2/6/15 15:32,02126
u-vmusFJW7xi-LGmWUumV83,q-bj9KQHSgdJ-wtcH4rffQM,Is it possible to have flying cars in the future?,Innovation-Technology,3/9/15 12:06,02126
u-KAShJEQfyL-gTkLqf6OIp,q-y1kPJH5r4J-Ws9cNetMjq,The buses are very slow esp. on Sundays?,Reliability,3/9/15 12:06,02126
u-MSb5dmURgD-8KVBZTOS11,q-6aoQ3G8TOB-mNCR24wfcq,How many green vehicles will there be?,Sustainability-Climate,3/9/15 12:55,02126
u-4aF1FGcmkM-LVxM2oCxkl,q-TKoichlhNh-XeUpMqeT3K,Will there ever be a 24 hour system in Boston?,Reliability,1/7/15 10:50,02126
u-bgAT6vdbkp-EjL6pNkGLy,q-bMiRU6RCag-yP9YRYgX63,Will there be a more efficient and affordable transportation system?,Affordability,1/7/15 10:50,02126
u-164wW1kYrR-Jb88u3Z5Ci,q-H1NIU1sqpo-zYTO9AJBu1,What's going on with the timing of the bus arrivals?,Reliability,1/7/15 10:50,02126
u-8QCnBKvxO5-xxOeLFJkgw,q-UiygLLfi4y-WSfjcj20i1,Start cleaning the snow so that taxpayers can have their children and senior citizens maneuver more safely in the community.  ,Experiential Quality,3/9/15 12:56,02126
u-KTFo0YOCFq-trzngjT0ev,q-044QsO9GXP-8PnngtuNbD,Can you build trains that can plow the snow?,Innovation-Technology,3/9/15 12:16,02126
u-ezIjigvch9-jrwt0nVuXI,q-jD7jrJkznI-0TF9Q1p2Xb,What is the MBTA doing on scheduling routes to be more efficient for the future?,Reliability,3/9/15 12:06,02126
u-C41DLPq8uy-HH85pPAuLy,q-tXHVkgHAv5-6bPxcMlEm5,Will money collected from city-owned parking lots be used for the improvement of public transportation? What is it currently being used for?,Governance and Decision-Making,3/3/15 10:10,02126
u-aBsF9zzPsv-jsSD2B6zep,q-4njV9zVUrF-qd9hiv4if3,How come the Blue Line is getting new cars before the the Much traveled Red and Orange Lines?,Equity,2/18/15 20:24,02126
u-nZnOltO5aK-I98GCuNwrC,q-m9Vy3WImMN-Ayrr4W4vq3,Will there be flying cars?,Innovation-Technology,4/15/15 10:55,02126
u-XIE7YScodU-bG6hCaDv9a,q-zSfzMokfo1-w0cYFR7IGJ,"Will it be possible to no longer have fixed bus stops, but rather moving stops that follow modes where people physically and commonly crowd source (people set where the bus goes, not the other way around)?",Access,3/9/15 12:16,02126
u-4IeEFxWQNM-4sA80pD6eP,q-xqraP8cgzm-4YhWtubROU,Do we have to wait for the bus?,Reliability,3/9/15 12:06,02126
u-6UneKsvv8m-PzO7BEMzw7,q-p4qvmuINsd-sd8dSXgyNo,Having a free shuttle bus for 60+ for hospital and doctor appointments only.  ,Affordability,3/9/15 12:17,02126
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
