u-vxA40aBTgk-wfz0Bw6PsU,q-9UMUnkfQZH-am2OOHn8g6,Can we add buses in Boston for public transportation while also for sightseeing?,Access,2/20/15 21:08,02127,
u-btDMGxTCYP-tzd2cRjJG6,q-wRdvJybt2q-1G2Zsa3jYG,"Can they drop you off anywhere you got to go? (By they, I mean bus drivers)",Access,2/25/15 17:12,02127,
u-oGngYTcJtG-Ox4RzXhDZZ,q-bFZNFGLMH2-S4FqY1j81N,What about having shuttles that are express between train stations?,Access,3/9/15 12:05,02127,
u-N2yXjtgxZt-dxMOMIaKha,q-kjzi2PFyHs-vuphHlTzld,Why isn't there more parking in South Boston?,Access,3/9/15 12:05,02127,
u-WFObuajW6g-cSaaE5LIjr,q-p9YAUuEjul-SmNd6HxPoY,"When and where will the roads/travel systems expand to be more extensive and efficient as in most major metro cities, i.e. LA, Miami, NYC?",Access,3/9/15 12:06,02127,
u-bXo9u919ES-upExZFGVZg,q-dgxpMaAfP9-sHVHRsObzz,Will the T come to East and South Boston?,Access,3/9/15 12:06,02127,
u-5jXmd5WXCy-VHi6KPivNh,q-gKLrrFyOKz-yEecbtpVYS,Why is nothing connecting Seaport to surrounding areas?,Access,3/9/15 12:06,02127,
u-1V4HZQKMqc-EzFYTu9ott,q-nOHM77RJEt-VYHWd6gezp,Will they be running shuttle services (intra community) not just East/West?,Access,3/9/15 12:06,02127,
u-cElzhgtMS4-6Lqoe9Tw91,q-zCN6Q75aBx-jl3c8Iea9m,"Faster and smaller roads for bikes, skateboards, and small cars?",Access,3/9/15 12:06,02127,
u-iRhxspQPWP-JdEqN7hebf,q-GZj1msUDDw-dayyMs03fy,How can the elderly get around safely with the snow mountains?,Access,3/9/15 12:06,02127,
u-8UK5fOZLNG-ro0BkcSmW1,q-mcX9ppyv7j-x3D8IPZEy7,When will emergency vehicles have better access on roads?,Access,3/9/15 12:06,02127,
u-TB3QenY4lE-n8pwUakuVn,q-CGDQUzSDAL-1N5TdQ9d1C,Can we have more buses or a better system for getting around Southie? Double what they are now.,Access,3/9/15 12:06,02127,
u-YQnEB2KBsd-DniN2g3y7Q,q-JmUPu8JRVT-cUhG4RXHgy,When are we going to get more bike lanes?,Access,3/9/15 12:06,02127,
u-3FH1hvo5I5-qh4DO1QCM9,q-PKIO11wK7e-bczg4MR4Ci,Why is it impossible  to get from Southie to the North End?,Access,3/9/15 12:06,02127,
u-kyFP7vpBAU-OQvbyakkWJ,q-5chEogCs5c-1myWHAufo5,Are we going to get more bike lanes?,Access,3/9/15 12:06,02127,
u-mA8SMMF5dc-JKqLxC69IO,q-wjCYzoXrcx-tdpxMsGOuR,"Why aren't the southern neighborhoods connected by light rail? They're extending into Somerville but what about Mattapan, Dot, etc.?",Access,3/9/15 12:06,02127,
u-AmehGbXo5C-ZkJjRX6Uds,q-d5emZj4qhN-77oIwJil4W,When are we getting a circle line?,Access,3/9/15 12:06,02127,
u-rfX0OiBV7w-agHen1NJIy,q-i88Z90ySKt-stNLiXIYtu,How can we get to the hospital or vet in an emergency if our cars are plowed in?,Access,3/9/15 12:06,02127,
u-CZD20qATEn-QZLUAzuQwm,q-8VMycQm17l-aDrdUA86o0,How will you clear up the mess that is I-93 between 5-7pm?,Access,3/9/15 12:06,02127,
