user_id,question_id,question,theme,create_date,zipcode
u-uoSbghOxr2-D7PCOi2UoD,q-UqjIBQKBsK-guOEXcFPRY,Why can't we focus transportation spending on increasing reliability of existing services before expanding service to new areas that don't need it (SCR)?,Governance and Decision-Making,2/10/15 8:03,02114
u-5MjN9NJIbE-yf8mT2m1VA,q-SDOrVVNOp9-gttApivVr2,"How can people who live in Roxbury and Dorchester get to work in the Longwood hospital area more easily, without taking the T into town and going back on the green line, or without having the slow bus trips that occur now?",Access,1/12/15 20:24,02114
u-xjKkaHoVdZ-dh5U3gdd1s,q-DTQZkKgOOC-LtJi88z0XF,What about a running highway for runners to get to work?,Innovation-Technology,1/28/15 15:00,02114
u-jz46wpIUOq-Z9NCe7Z4lq,q-Sy55g9dzU4-Xci0Mhy3pO,Why aren't there express buses to downtown during rush hour?,Reliability,2/11/15 13:55,02114
u-q9SXgM9Fdv-VFHPz3yDNx,q-TMXIkpNBUk-Ctgc4v3AVP,How can you make it easier and faster to get from Davis and Porter? And from Hud to Longwood? ,Reliability,1/7/15 10:50,02114
u-U1sHSEvBS5-1lrwHNfbv3,q-RDklsYh1Xq-r7Kt6HrCLJ,How can Boston and the MBTA fund new projects? ,Governance and Decision-Making,4/17/15 17:02,02114
u-RKu2kzZ78o-StZiKvBPqx,q-1qIOYRfAQC-dvDnsSl8lf,"What if we had automated vehicles and we could ""speak"" the place we wanted to go to and the vehicle automatically took us there?",Innovation-Technology,3/9/15 12:04,02114
u-GLcLyYvIH0-C1C2DN1jhV,q-QoweVYmGei-tJZBsJ4NZC,What can we do differently so the T is reliable through all kinds of weather?,Reliability,2/19/15 13:24,02114
u-7XoTMkioM8-S9Fj1hH5Oi,q-DoepYNv1F2-PuvjCVtVdb,"Will the outdated fare collection system on the Green Line continue to require the redundant second car operator, costing us millions in salary and pension dollars over the next 20 years that could be spent to maintain/upgrade the system?",Affordability,2/5/15 10:45,02114
u-gXllaR6Y4a-oHCQpiRkeT,q-QT4V9mI59S-Dn08CLl4oB,Will there be train service to the South End?,Access,1/7/15 10:50,02114
u-QvglPgG6Wm-9l4Ysm7wrT,q-i3DTcvA3Z7-rLibaTYfAI,"Can we synchronize lights to make traffic flow better? Can we add more park & ride lots?
Can we add a bike sharing program
Can we plow the snow banks and medians so that drivers aren't blind to pedestrians crossing the streets?
Can we add subway tracks to south boston?
Can we add more cars to the green line to improve capacity?""",Reliability,2/8/15 13:12,02114
u-a5uKdOe6Jt-jxFsD7tIF7,q-kW7pQr55Sp-MXi75YzvvD,"Can we add a bike sharing program, like Citi bike?",Access,4/17/15 17:02,02114
u-3Rm2qRIAqB-VZHJcCZN9u,q-20UqqAKj6I-oUgiFWueIl,Will the MBTA run efficiently?,Reliability,2/5/15 16:14,02114
u-2gXQCxYZyK-PwzJDmuO9X,q-4MLrUPZbon-TZ6fQcNRtx,Can we add subway tracks to South Boston? ,Access,4/17/15 17:02,02114
u-q9zRspYi0i-MXOVU2k0xV,q-59Gq6n707A-D9umJWtx2J,Can we add more park and ride lots?,Access,4/17/15 17:02,02114
u-f3V2p9ppI2-mMLph63sx5,q-YZ5Jcs3YIm-d6sCwtVcD8,Can we add more cars to the Green Line to improve capacity?,Reliability,4/17/15 17:02,02114
u-IMTPl2Dx6H-8rECboTWfh,q-ae1qcS5FrZ-NUVeUKsyOf,Will you ensure that everyone pays the T fare (and commuter rail) instead of raising the fare?,Affordability,3/9/15 12:16,02114
u-xjKkaHoVdZ-dh5U3gdd1s,q-PxlqoL3cGJ-F9SvwZeqMN,"Can we have a ""stroll to the right"" protocol for sidewalks? Runners can keep left.",Governance and Decision-Making,1/28/15 14:59,02114
u-iJqIuLnIDA-ApjlfrMwNU,q-HBzv5S98Ox-ojZFdvIagh,Will the MBTA fulfill its promises? ,Governance and Decision-Making,2/20/15 20:51,02114
u-nreHS7vXEJ-HcB30vlzdp,q-1kmZOz4u4p-yMXpkzgfod,I have heard a lot recently about individuals who feel the timing of crossing signals are inconvenient and prompt people to jaywalk when in a hurry or frustrated.  Is there anything being done to address this issue?,Safety,4/17/15 18:44,02114
u-mzubrr3YZp-EfV88MByXp,q-qQzr7W9Uzs-QuZvxLdvEU,How will Boston be more bike friendly?,Access,2/5/15 16:14,02114
u-jz46wpIUOq-Z9NCe7Z4lq,q-KjVkuH5hy0-lDTBv7HyyU,How will I get to Logan if the tunnels are flooded?,Sustainability-Climate,2/11/15 13:55,02114
u-sE5dK5X0rg-qMVLsLz46p,q-QfUfGbE53Z-hIHhO40vaW,How can the MBTA create a more consistent schedule?,Reliability,4/17/15 17:02,02114
u-BzrMs7KoLR-2Go824k0aR,q-fi62m6jmg1-BOg1nzwRXJ,Can we plow the snow banks and medians so that drivers aren't blind to pedestrians crossing the streets?,Experiential Quality,4/17/15 17:02,02114
u-xjKkaHoVdZ-dh5U3gdd1s,q-KDNBEUSRrE-JpuSXdfW4q,What about white pavement to cool the city?,Sustainability-Climate,1/28/15 15:01,02114
u-Ov6SBFU4rF-dgx5Z8c5u1,q-zVO02OlWrX-rsu9oxNIyI,"How could the Green Line, that's above ground, be quicker?",Reliability,3/9/15 12:06,02114
u-xjKkaHoVdZ-dh5U3gdd1s,q-sXMqvQO9yA-np79uZe4k5,Why can't we charge cars $10 each time they honk?,Governance and Decision-Making,1/28/15 14:58,02114
u-A5fx67htdy-MivCufXcP3,q-H929sr0BKP-5Y9K89HyXJ,What new technologies can continue to be deployed to make the MBTA experience stronger? ,Innovation-Technology,4/17/15 17:02,02114
u-9sjfp9bsep-RmQfoqZuTf,q-yrkADJHKNY-C3uH5gAAqT,Why don't they make new bus and trains?,Experiential Quality,2/20/15 20:10,02108
u-9sjfp9bsep-RmQfoqZuTf,q-cI4Tq2V8Pv-g6ApQh4IMf,"They need to fix the system,like buying new trains.",Reliability,2/20/15 20:12,02108
u-5ZUdScJ3hS-i5n7aSTxnD,q-Obf6y01caP-bsgQb4VrHE,What is the plan for decreasing reliance on the personal vehicle?,Governance and Decision-Making,1/12/15 16:47,02108
u-9eDC4ILsvs-yxy0kuv74u,q-Ta8dZCOS4O-XmdR5gl4VC,Can intersections and pedestrian crossings have stronger markings - more paint or paving to delineate a larger area - to keep them free of stopped cars- and clearly shown as areas where pedestrians are found and have right of way?,Safety,2/7/15 17:06,02108
u-wmmLyhUxXb-HiMqLetIyl,q-USjeKBXL46-7fqpVxCS9i,How can we make bus priority lanes so that more people want to use public transit? ,Access,1/18/15 14:22,02108
u-DUMuFqlX5l-R10rQzWtL9,q-C0iDXPTUqN-uB1nSt0VtP,Why do we have to rely on a three week party for international elites in order to have a 21st century transportation system?,Governance and Decision-Making,2/5/15 10:26,02108
u-wmmLyhUxXb-HiMqLetIyl,q-xw8A15tdwB-5ay2aedNTw,When will we expand hours for pedestrian zones (like Washington St / Downtown Crossing) to other streets / areas of the city? ,Access,1/14/15 10:25,02108
u-v1wa11ZKv6-7EBvJgSoAM,q-aIH54lHHZi-3h0uOsSI4M,Will we ever have streets that don't develop pot holes or crack/break druing the winter season?,Experiential Quality,1/7/15 10:50,02108
u-HOeloHmGpL-v1vlrEv0jI,q-X4ZMqKYpMA-WgbHm1yKSN,"To discourage people driving downtown (look at the mess last night with all the snowbanks), why doesn't the city tax the ""free"" parking that companies provide their employees? Encourage them to give out T passes instead of parking spots.  ",Governance and Decision-Making,2/4/15 4:34,02108
u-5ZUdScJ3hS-i5n7aSTxnD,q-YuulbLdbN4-ghJMNlzkyD,Will we establish congestion pricing to encourage (and initially fund) more mass transit?,Affordability,1/12/15 16:51,02108
u-7IpAW7uBPJ-mrA14URe6r,q-9nAjnZ6Ywv-Z8Bhe9jdq7,When will the Government Center stop reopen?  Sooner than 2016?,Access,3/9/15 12:05,02108
u-2IHIYeNDLu-zziV7tOrMP,q-XCoIEHtpWV-4FCFHdqlRQ,Will there be less traffic congestion on snow days?,Reliability,2/5/15 16:16,02108
u-wmmLyhUxXb-HiMqLetIyl,q-fso4ZsgjLK-M1qtkIr9Ea,On which streets can we add more pedestrian-priority hour zones (like Washington St in Downtown Crossing during the day)?,Sustainability-Climate,1/18/15 14:25,02108
u-YxYM7wd8R9-XM2lnT4cad,q-swVH7wrgo2-8qAnnbVOqj,Why is there no light rail system in Dudley?,Equity,3/9/15 12:05,02108
u-PEvAz5cNDn-5fwcLb3evw,q-yE6h7DcseT-yIvsapaAeO,"Going forward I think the T should burn their equipment they own, use the scrap cash to pay for snow removal and fixing outdated trains",Experiential Quality,2/20/15 22:11,02108
u-55H7WjOGuS-beFJrrOG7f,q-K9aGFe6Su1-rE2wMmrBzM,Why are car drivers' needs put ahead of everyone else?,Equity,3/9/15 12:04,02108
u-lPY2jLBQQ3-XzO40mxXTd,q-JECmFC6C5a-JDnHUNJ4n6,Will there ever be heated bus stops?,Experiential Quality,3/9/15 12:16,02108
u-9sjfp9bsep-RmQfoqZuTf,q-7mcDgkGVls-mklF0eE954,More reliable service on the MBTA.,Reliability,2/20/15 20:06,02108
u-iXJLhEkC4B-bNsiMB2PUI,q-x5Lf0X02bL-I9dHTfl6No,How can we make it safe to walk 24/7 in every neighborhood?,Safety,3/9/15 12:18,02108
u-LHPcvFvPAq-HGqqlcPfjY,q-HwG6wkzMMO-peBC6PM7wx,"Please help Boston artists be able to live, exist, show, and sell in town. The new artists around the city is great, but means so many of us will be priced out. No more local artist cooperation. No more studies. We cant afford it.",Experiential Quality,2/20/15 22:02,02108
u-9eDC4ILsvs-yxy0kuv74u,q-uylJNNhrbm-173Z9U6J3Y,Could cars & trucks be taxed or limited by size? Can some narrow streets be off limit to large vehicles?,Sustainability-Climate,2/7/15 17:07,02108
u-iR5HHwEEeL-peGDlreDdI,q-HCktbp5SmV-8wBkI1Pfmv,"Why can't we change all resident permit parking programs to parking benefit districts?  (Per Donald Shoup, The High Cost of Free Parking.)",Access,4/17/15 18:44,02108
u-9eDC4ILsvs-yxy0kuv74u,q-R89fNMzvaF-V1K9AGjsg8,When will our urban spaces be more important than our car traffic flow? Will Boston have congestion pricing like Singapore & London? Are we planning to increase our park and ride possibilities?,Sustainability-Climate,2/7/15 17:00,02108
u-dzCAC2Lv7T-dp7MBVucUd,q-8w6iMqwkgd-SQvv4BmVwL,Can we give more space to pedestrians and cyclists to make the choice to walk/bike for short trips the best option?,Sustainability-Climate,2/11/15 17:19,02108
u-Ct42lqZxWs-J6VhjjJf4w,q-lkBdPoteAM-HA1vCGYY7r,When will all the pedestrian signals be timed for pedestrians?,Access,4/17/15 18:44,02108
u-uPqGBJDY0C-xQ1q4UZzEe,q-rX7ESNhGEs-tUKAwymxDz,"I walk around the city a lot and enjoy it. Are there plans/How will the city address the uneven surfaces- due to tree roots, frost heaves, sink holes or what-have-you to provide safe pedestrian ways?",Health,3/9/15 12:18,02108
u-9sjfp9bsep-RmQfoqZuTf,q-3QDe3M3kgC-PJLRxlf7fs,Keep the HOV lane on the x-way open later when there is traffic jams currently closes at 7:00,Access,2/20/15 20:14,02108
u-F5u8Bw0nrA-durTk5FpZ4,q-ZOXYwCiqmV-NUyicxktKF,"Why does the City allow Traffic Lights to be ""Green"" and Pedestrian lights to be ""Walk"" at the same time? Isn't that dangerous?",Safety,2/3/15 14:24,02108
u-8q7gGFVFzd-fVZiy4Xkzv,q-M8dpVfLTdn-Dlkl36WyOu,Will there be improvements to the T?  More cars?  Better cars?  Smoother tracks?,Experiential Quality,4/17/15 18:44,02108
u-wmmLyhUxXb-HiMqLetIyl,q-Fdk7EJDIP6-q9Gd5JBnGR,How can we increase pedestrian connections to the parts of the city that are cut off by highways like 93 and the Mass Pike?,Access,1/18/15 14:23,02108
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
